"url","Column 1","Pas 1","Pas 1_alt","Pas 2","Pas 2_link","Pas 3","Col 1","Col 2","Col 3","Total"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Barcelona_1992","17","https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Flag_of_Japan_%281870%E2%80%931999%29.svg/22px-Flag_of_Japan_%281870%E2%80%931999%29.svg.png","Japón","Japón","https://es.wikipedia.org/wiki/Jap%C3%B3n_en_los_Juegos_Ol%C3%ADmpicos_de_Barcelona_1992","(JPN)","3","8","11","22"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Barcelona_1992","18","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Bulgaria.svg/22px-Flag_of_Bulgaria.svg.png","Bulgaria","Bulgaria","https://es.wikipedia.org/wiki/Bulgaria_en_los_Juegos_Ol%C3%ADmpicos_de_Barcelona_1992","(BUL)","3","7","6","16"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Barcelona_1992","19","https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Flag_of_Poland.svg/22px-Flag_of_Poland.svg.png","Polonia","Polonia","https://es.wikipedia.org/wiki/Polonia_en_los_Juegos_Ol%C3%ADmpicos_de_Barcelona_1992","(POL)","3","6","10","19"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Barcelona_1992","20","https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Flag_of_the_Netherlands.svg/22px-Flag_of_the_Netherlands.svg.png","Países Bajos","Países Bajos","https://es.wikipedia.org/wiki/Pa%C3%ADses_Bajos_en_los_Juegos_Ol%C3%ADmpicos_de_Barcelona_1992","(NED)","2","6","7","15"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Barcelona_1992","21","https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Kenya.svg/22px-Flag_of_Kenya.svg.png","Kenia","Kenia","https://es.wikipedia.org/wiki/Kenia_en_los_Juegos_Ol%C3%ADmpicos_de_Barcelona_1992","(KEN)","2","4","2","8"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Barcelona_1992","22","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Norway.svg/22px-Flag_of_Norway.svg.png","Noruega","Noruega","https://es.wikipedia.org/wiki/Noruega_en_los_Juegos_Ol%C3%ADmpicos_de_Barcelona_1992","(NOR)","2","4","1","7"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Barcelona_1992","23","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Turkey.svg/22px-Flag_of_Turkey.svg.png","Turquía","Turquía","https://es.wikipedia.org/wiki/Turqu%C3%ADa_en_los_Juegos_Ol%C3%ADmpicos_de_Barcelona_1992","(TUR)","2","2","2","6"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Barcelona_1992","24","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_Indonesia.svg/22px-Flag_of_Indonesia.svg.png","Indonesia","Indonesia","https://es.wikipedia.org/wiki/Indonesia_en_los_Juegos_Ol%C3%ADmpicos_de_Barcelona_1992","(INA)","2","2","1","5"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Barcelona_1992","25","https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Flag_of_Brazil.svg/22px-Flag_of_Brazil.svg.png","Brasil","Brasil","https://es.wikipedia.org/wiki/Brasil_en_los_Juegos_Ol%C3%ADmpicos_de_Barcelona_1992","(BRA)","2","1","0","3"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Barcelona_1992","26","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Greece.svg/22px-Flag_of_Greece.svg.png","Grecia","Grecia","https://es.wikipedia.org/wiki/Grecia_en_los_Juegos_Ol%C3%ADmpicos_de_Barcelona_1992","(GRE)","2","0","0","2"
