,Continent,Country Name,country_id
187,NA,santa-lucia,(LCA)
188,NA,san-martin-parte-francesa-,(MAF)
189,NA,san-pedro-y-miquelon,(SPM)
190,NA,san-vicente-y-las-granadinas,(VCT)
191,OC,samoa,(WSM)
192,EU,san-marino,(SMR)
193,AF,santo-tome-y-principe,(STP)
194,AS,arabia-saudita,(SAU)
195,AF,senegal,(SEN)
196,EU,serbia,(SRB)
197,AF,seychelles,(SYC)
198,AF,sierra-leona,(SLE)
199,AS,singapur,(SGP)
200,NA,sint-maarten-parte-neerlandesa-,(SXM)
201,EU,eslovaquia,(SVK)
202,EU,eslovenia,(SVN)
203,OC,islas-salomon,(SLB)
204,AF,somalia,(SOM)
205,AF,sudafrica,(ZAF)
206,AN,islas-georgias-del-sur-y-sandwich-del-sur,(SGS)
207,AF,sudan-del-sur,(SSD)
208,EU,espana,(ESP)
209,AS,sri-lanka,(LKA)
210,AF,sudan,(SDN)
211,SA,surinam,(SUR)
212,EU,svalbard-y-jan-mayen,(SJM)
213,AF,suazilandia,(SWZ)
214,EU,suecia,(SWE)
215,EU,suiza,(CHE)
216,AS,siria-republica-arabe-de,(SYR)
217,AS,taiwan-provincia-de-china,(TWN)
218,AS,tayikistan,(TJK)
219,AF,tanzania-republica-unida-de,(TZA)
220,AS,tailandia,(THA)
221,AS,timor-leste,(TLS)
222,AF,togo,(TGO)
223,OC,tokelau,(TKL)
224,OC,tonga,(TON)
225,NA,trinidad-y-tobago,(TTO)
226,AF,tunez,(TUN)
227,EU,turquia,(TUR)
228,AS,turkmenistan,(TKM)
229,NA,islas-turcas-y-caicos,(TCA)
230,OC,tuvalu,(TUV)
231,AF,uganda,(UGA)
232,EU,ucrania,(UKR)
233,AS,emiratos-arabes-unidos,(ARE)
234,EU,reino-unido,(GBR)
235,NA,estados-unidos,(USA)
236,OC,islas-ultramarinas-menores-de-estados-unidos,(UMI)
237,SA,uruguay,(URY)
238,AS,uzbekistan,(UZB)
239,OC,vanuatu,(VUT)
240,SA,venezuela-republica-bolivariana-de,(VEN)
241,AS,viet-nam,(VNM)
242,NA,islas-virgenes-britanicas,(VGB)
243,NA,islas-virgenes-de-los-estados-unidos,(VIR)
244,OC,wallis-y-futuna,(WLF)
245,AF,sahara-occidental,(ESH)
246,AS,yemen,(YEM)
247,AF,zambia,(ZMB)
248,AF,zimbabue,(ZWE)
